CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster_group
1,Male,19,15,39,2
2,Male,21,15,81,1
3,Female,20,16,6,0
4,Female,23,16,77,1
5,Female,31,17,40,2
6,Female,22,17,76,1
7,Female,35,18,6,0
8,Female,23,18,94,1
9,Male,64,19,3,0
10,Female,30,19,72,1
11,Male,67,19,14,0
12,Female,35,19,99,1
13,Female,58,20,15,0
14,Female,24,20,77,1
15,Male,37,20,13,0
16,Male,22,20,79,1
17,Female,35,21,35,2
18,Male,20,21,66,1
19,Male,52,23,29,2
20,Female,35,23,98,1
21,Male,35,24,35,2
22,Male,25,24,73,1
23,Female,46,25,5,0
24,Male,31,25,73,1
25,Female,54,28,14,0
26,Male,29,28,82,1
27,Female,45,28,32,2
28,Male,35,28,61,1
29,Female,40,29,31,2
30,Female,23,29,87,1
31,Male,60,30,4,0
32,Female,21,30,73,1
33,Male,53,33,4,0
34,Male,18,33,92,1
35,Female,49,33,14,0
36,Female,21,33,81,1
37,Female,42,34,17,0
38,Female,30,34,73,1
39,Female,36,37,26,2
40,Female,20,37,75,1
41,Female,65,38,35,2
42,Male,24,38,92,1
43,Male,48,39,36,2
44,Female,31,39,61,3
45,Female,49,39,28,2
46,Female,24,39,65,3
47,Female,50,40,55,3
48,Female,27,40,47,3
49,Female,29,40,42,3
50,Female,31,40,42,3
51,Female,49,42,52,3
52,Male,33,42,60,3
53,Female,31,43,54,3
54,Male,59,43,60,3
55,Female,50,43,45,3
56,Male,47,43,41,3
57,Female,51,44,50,3
58,Male,69,44,46,3
59,Female,27,46,51,3
60,Male,53,46,46,3
61,Male,70,46,56,3
62,Male,19,46,55,3
63,Female,67,47,52,3
64,Female,54,47,59,3
65,Male,63,48,51,3
66,Male,18,48,59,3
67,Female,43,48,50,3
68,Female,68,48,48,3
69,Male,19,48,59,3
70,Female,32,48,47,3
71,Male,70,49,55,3
72,Female,47,49,42,4
73,Female,60,50,49,3
74,Female,60,50,56,3
75,Male,59,54,47,4
76,Male,26,54,54,5
77,Female,45,54,53,5
78,Male,40,54,48,4
79,Female,23,54,52,5
80,Female,49,54,42,4
81,Male,57,54,51,4
82,Male,38,54,55,5
83,Male,67,54,41,4
84,Female,46,54,44,4
85,Female,21,54,57,5
86,Male,48,54,46,4
87,Female,55,57,58,5
88,Female,22,57,55,5
89,Female,34,58,60,5
90,Female,50,58,46,6
91,Female,68,59,55,5
92,Male,18,59,41,7
93,Male,48,60,49,6
94,Female,40,60,40,7
95,Female,32,60,42,7
96,Male,24,60,52,6
97,Female,47,60,47,6
98,Female,27,60,50,6
99,Male,48,61,42,7
100,Male,20,61,49,8
101,Female,23,62,41,7
102,Female,49,62,48,9
103,Male,67,62,59,5
104,Male,26,62,55,13
105,Male,49,62,56,13
106,Female,21,62,42,11
107,Female,66,63,50,12
108,Male,54,63,46,10
109,Male,68,63,43,11
110,Male,66,63,48,12
111,Male,65,63,52,13
112,Female,19,63,54,13
113,Female,38,64,42,14
114,Male,19,64,46,15
115,Female,18,65,48,16
116,Female,19,65,50,16
117,Female,63,65,43,17
118,Female,49,65,59,18
119,Female,51,67,43,17
120,Female,50,67,57,18
121,Male,27,67,56,18
122,Female,38,67,40,14
123,Female,40,69,58,18
124,Male,39,69,91,21
125,Female,23,70,29,19
126,Female,31,70,77,21
127,Male,43,71,35,19
128,Male,40,71,95,21
129,Male,59,71,11,20
130,Male,38,71,75,21
131,Male,47,71,9,20
132,Male,39,71,75,21
133,Female,25,72,34,19
134,Female,31,72,71,21
135,Male,20,73,5,20
136,Female,29,73,88,21
137,Female,44,73,7,20
138,Male,32,73,73,21
139,Male,19,74,10,20
140,Female,35,74,72,21
141,Female,57,75,5,20
142,Male,32,75,93,21
143,Female,28,76,40,19
144,Female,32,76,87,21
145,Male,25,77,12,20
146,Male,28,77,97,21
147,Male,48,77,36,19
148,Female,32,77,74,21
149,Female,34,78,22,20
150,Male,34,78,90,21
151,Male,43,78,17,20
152,Male,39,78,88,21
153,Female,44,78,20,20
154,Female,38,78,76,21
155,Female,47,78,16,20
156,Female,27,78,89,21
157,Male,37,78,1,20
158,Female,30,78,78,21
159,Male,34,78,1,20
160,Female,30,78,73,21
161,Female,56,79,35,19
162,Female,29,79,83,21
163,Male,19,81,5,20
164,Female,31,81,93,21
165,Male,50,85,26,20
166,Female,36,85,75,21
167,Male,42,86,20,20
168,Female,33,86,95,21
169,Female,36,87,27,22
170,Male,32,87,63,18
171,Male,40,87,13,20
172,Male,28,87,75,21
173,Male,36,87,10,20
174,Male,36,87,92,21
175,Female,52,88,13,20
176,Female,30,88,86,21
177,Male,58,88,15,20
178,Male,27,88,69,21
179,Male,59,93,14,22
180,Male,35,93,90,21
181,Female,37,97,32,22
182,Female,32,97,86,21
183,Male,46,98,15,22
184,Female,29,98,88,21
185,Female,41,99,39,22
186,Male,30,99,97,21
187,Female,54,101,24,22
188,Male,28,101,68,21
189,Female,41,103,17,22
190,Female,36,103,85,21
191,Female,34,103,23,22
192,Female,32,103,69,21
193,Male,33,113,8,22
194,Female,38,113,91,23
195,Female,47,120,16,22
196,Female,35,120,79,23
197,Female,45,126,28,22
198,Male,32,126,74,23
199,Male,32,137,18,24
200,Male,30,137,83,23
201,Male,43,140,26,24
202,Male,39,141,75,23
203,Female,44,155,20,24
204,Female,38,157,95,23
205,Male,47,158,27,24
206,Male,27,160,63,23
207,Male,37,167,13,24
208,Female,30,177,75,25
209,Female,34,188,10,26
210,Female,30,189,92,25
211,Female,56,190,13,26
212,Male,29,192,86,25
213,Female,19,194,15,26
